intention,query,u_id
Others,"parse java
",B0013
Knowledge Seeking,"what is the length method
",B0018
Knowledge Seeking,"how do you know whats private or public
",B0018
Knowledge Seeking,"whats the symbol for private method
",B0018
Knowledge Seeking,"how to create a subclass
",B0018
Others,"how to create a subclass in java
",B0018
Method Learning,"how to write a toString
",B0018
Knowledge Seeking,"how to format decimals
",B0018
Knowledge Seeking,"how to use java.text.DecimalFormat
",B0018
Others,"how to use java.text.DecimalFormat in a string
",B0018
Knowledge Seeking,"scanner class
",B0020
Method Learning,"set method
",B0020
Others,"set method with multiple strings
",B0020
Others,"line to parse array
",B0020
Others,"line to parse split
",B0020
Others,"lineToParse.split
",B0020
Others,"run an applet program
",B0020
Others,"3-partition merge sort
",B0020
Others,"colorlistener class
",B0020
Knowledge Seeking,"do-while
",B0025
Method Learning,"finding the max integer 
",B0025
Others,"finding the max integer in java
",B0025
Method Learning,"encapsulation
",B0025
Method Learning,"mutating a class
",B0025
Knowledge Seeking,"How to call from other class
",B0026
Others,"How to call methods from other class
",B0026
Problem Solving,"call method from other class
",B0026
Others,"print method from other class
",B0026
Others,"call private method from other class
",B0026
Others,"print private value from other method
",B0026
Others,"print private value from other class
",B0026
Problem Solving,"parser
",B0026
Others,"parser java
",B0026
Problem Solving,"array
",B0026
Problem Solving,"read from
",B0026
Problem Solving,"read from java
",B0026
Others,"read string from java
",B0026
Knowledge Seeking,"parseInteger
",B0026
Knowledge Seeking,"for loops
",B0027
Knowledge Seeking,"accessor method
",B0027
Method Learning,"parse string to product
",B0027
Knowledge Seeking,"reading file to string java
",B0027
